Symbol,Last,Volume,Time,%Chg,"Market Cap","P/E ttm","52W %Chg"
ALT,9.2,467200,2021-12-23,+0.11%,365599000,0,-27.10%
ALTG,14.79,14400,2021-12-23,-0.74%,478649000,0,+63.79%
ALTM,62.77,27200,2021-12-23,-2.59%,1019762000,121.58,+29.66%
ALTO,4.86,585600,2021-12-23,-1.42%,353808000,30.81,-24.88%
ALTR,73.74,156400,2021-12-23,-1.05%,5569361000,298.08,+24.58%
ALVR,13.7,158600,2021-12-23,+0.74%,892432000,0,-70.65%
ALX,260.09,12800,2021-12-23,+1.90%,1329060000,13.99,-4.58%
ALXO,23.26,383400,2021-12-23,+4.40%,942030000,0,-74.31%
AMAL,16.68,55600,2021-12-23,+1.89%,518698000,10.04,+25.23%
AMBA,200.58,353300,2021-12-23,+1.64%,7422060000,0,+114.85%
AMBC,15.47,279900,2021-12-23,+1.91%,716323000,16.87,-8.08%
AMC,28.52,37005800,2021-12-23,-0.56%,14640172000,0,"+1,014.06%"
AMCX,35.92,257700,2021-12-23,+3.31%,1517691000,2.94,+6.48%
AMEH,70.84,214600,2021-12-23,-0.67%,3935090000,44.86,+302.73%
AMK,25.26,36200,2021-12-23,-0.32%,1857898000,40.22,+5.21%
AMKR,23.13,478500,2021-12-23,+1.09%,5655863000,10.12,+53.79%
AMN,122.33,338700,2021-12-23,+0.82%,5783151000,19.99,+75.69%
AMNB,38.51,6000,2021-12-23,+0.97%,415099000,10.14,+43.27%
AMOT,35.67,14500,2021-12-23,+0.88%,524884000,28.36,+6.71%
AMPE,0.6312,1282200,2021-12-23,+0.03%,127584000,0,-64.34%
AMPH,22.59,123000,2021-12-23,-0.53%,1080909000,20.65,+19.65%
AMRC,77.91,152200,2021-12-23,-0.57%,4003716000,53.31,+50.52%
AMRK,61.52,69900,2021-12-23,+3.74%,698375000,3.6,+118.93%
AMRS,5.59,4721800,2021-12-23,+2.38%,1723056000,0,-0.18%
AMRX,5.07,640500,2021-12-23,+2.01%,1528544000,6.9,+14.45%
AMSC,11.66,210300,2021-12-23,+3.28%,331086000,0,-54.74%
AMSF,51.62,54900,2021-12-23,+0.72%,999570000,12.69,-10.37%
AMSWA,25.78,48400,2021-12-23,+0.23%,858164000,73.49,+57.20%
AMTB,34.14,60200,2021-12-23,-1.30%,1281172000,21.09,+125.79%
AMTI,14.54,129600,2021-12-23,+6.05%,559645000,0,-57.03%
AMTX,12.61,417300,2021-12-23,-2.78%,419295000,0,+328.91%
AMWD,62.59,108900,2021-12-23,+1.10%,1037116000,15.1,-32.83%
AMWL,6.43,2391200,2021-12-23,+2.06%,1561770000,0,-78.53%
ANAB,37.07,98600,2021-12-23,+2.18%,1019721000,129.57,+63.88%
ANAT,188.3,107600,2021-12-23,+0.07%,5062821000,0,+100.40%
ANDE,38.11,137700,2021-12-23,+0.29%,1268529000,15.14,+57.81%
ANF,34.36,972300,2021-12-23,+0.47%,1941134000,7.23,+67.45%
ANGN,2.65,117800,2021-12-23,0.00%,79383000,0,N/A
ANGO,28.21,148900,2021-12-23,+2.06%,1090317000,2764,+98.52%
ANIK,37.99,196100,2021-12-23,+0.61%,548462000,118,-13.84%
ANIP,50.9,92400,2021-12-23,+3.41%,649076000,17.03,+79.54%
ANNX,12.84,229700,2021-12-23,+2.88%,492735000,0,-57.97%
AOMR,16.6,59700,2021-12-23,-0.48%,420511000,0,N/A
AOSL,55.25,393000,2021-12-23,+2.54%,1457385000,18.91,+135.11%
AOUT,18.98,150600,2021-12-23,+0.69%,269231000,9.2,+4.63%
APAM,46.95,414100,2021-12-23,+3.35%,3710928000,9.46,-5.50%
APEI,23.01,43200,2021-12-23,+2.27%,430494000,22.96,-27.87%
APG,24.98,525700,2021-12-23,+1.38%,5611133000,22,+39.48%
APLE,16.21,1108900,2021-12-23,+0.19%,3701618000,24.52,+24.69%
APLS,49.16,410000,2021-12-23,+2.80%,4291422000,0,-11.49%
